
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
41.535389; 9.002340; 9.937636; -0.039239; -0.000351; 8.500000; 0.000000; 0.316603; 0.597673
41.735095; 9.011442; 10.137135; -0.039322; -0.000490; 8.500000; 0.000000; 0.316663; 0.595366
41.934801; 9.020543; 10.336633; -0.039434; -0.000633; 8.500000; 0.000000; 0.316754; 0.593356
42.134507; 9.029636; 10.536132; -0.039576; -0.000780; 8.500000; 0.000000; 0.317058; 0.591419
42.334213; 9.038716; 10.735631; -0.039746; -0.000928; 8.500000; 0.000000; 0.319105; 0.590663
42.533919; 9.047774; 10.935132; -0.039946; -0.001076; 8.500000; 0.000000; 0.321741; 0.591314
42.733624; 9.056806; 11.134633; -0.040176; -0.001223; 8.500000; 0.000000; 0.320844; 0.591443
42.933331; 9.065804; 11.334137; -0.040434; -0.001367; 8.500000; 0.000000; 0.319216; 0.591572
43.133036; 9.074762; 11.533641; -0.040721; -0.001507; 8.500000; 0.000000; 0.317413; 0.591876
43.332742; 9.083674; 11.733149; -0.041036; -0.001642; 8.500000; 0.000000; 0.315609; 0.592420
43.532448; 9.092534; 11.932658; -0.041376; -0.001769; 8.500000; 0.000000; 0.315782; 0.593406
43.732154; 9.101337; 12.132170; -0.041742; -0.001888; 8.500000; 0.000000; 0.318151; 0.594288
43.931860; 9.110076; 12.331684; -0.042130; -0.001998; 8.500000; 0.000000; 0.318254; 0.594064
44.131566; 9.118747; 12.531202; -0.042538; -0.002095; 8.500000; 0.000000; 0.317087; 0.593730
44.331272; 9.127346; 12.730723; -0.042965; -0.002179; 8.500000; 0.000000; 0.315541; 0.593774
44.530978; 9.135869; 12.930247; -0.043407; -0.002248; 8.500000; 0.000000; 0.313777; 0.594231
44.730684; 9.144311; 13.129774; -0.043861; -0.002300; 8.500000; 0.000000; 0.313461; 0.595183
44.930390; 9.152671; 13.329305; -0.044324; -0.002334; 8.500000; 0.000000; 0.315137; 0.596096
45.130096; 9.160947; 13.528839; -0.044791; -0.002346; 8.500000; 0.000000; 0.314836; 0.596031
45.329802; 9.169137; 13.728377; -0.045259; -0.002336; 8.500000; 0.000000; 0.312752; 0.595743
45.529507; 9.177242; 13.927918; -0.045722; -0.002301; 8.500000; 0.000000; 0.310244; 0.595877
45.729213; 9.185262; 14.127463; -0.046175; -0.002238; 8.500000; 0.000000; 0.307382; 0.596234
45.928919; 9.193199; 14.327011; -0.046613; -0.002146; 8.500000; 0.000000; 0.304912; 0.595056
46.128625; 9.201056; 14.526563; -0.047029; -0.002023; 8.500000; 0.000000; 0.305500; 0.590597
46.328331; 9.208837; 14.726117; -0.047418; -0.001866; 8.500000; 0.000000; 0.311149; 0.585741
46.528037; 9.216549; 14.925674; -0.047771; -0.001673; 8.500000; 0.000000; 0.319074; 0.582031
46.727743; 9.224198; 15.125233; -0.048082; -0.001442; 8.500000; 0.000000; 0.327560; 0.580162
46.927449; 9.231793; 15.324795; -0.048343; -0.001171; 8.500000; 0.000000; 0.336583; 0.582760
47.127155; 9.239344; 15.524358; -0.048546; -0.000858; 8.500000; 0.000000; 0.343705; 0.589039
47.326861; 9.246863; 15.723922; -0.048682; -0.000506; 8.500000; 0.000000; 0.349324; 0.596165
47.526567; 9.254363; 15.923487; -0.048745; -0.000125; 8.500000; 0.000000; 0.355158; 0.603083
47.726273; 9.261859; 16.123053; -0.048731; 0.000271; 8.500000; 0.000000; 0.361327; 0.609671
47.925979; 9.269367; 16.322617; -0.048637; 0.000669; 8.500000; 0.000000; 0.367959; 0.615797
48.125685; 9.276900; 16.522181; -0.048465; 0.001056; 8.500000; 0.000000; 0.375399; 0.621556
